@relation C__Users_nisha_Desktop_Weka_BOW_Training

@attribute text string
@attribute @@class@@ {BugReport,FeatureRequest,Other}

@data
'its slow it keeps saying its updating and it wont let me see my news feed and when i try and look at my friends pics it just says its loading not to mention it freezes up all the time i dnt like it ',BugReport
'well it use to be no internet connection problems with my samsung galaxy now its picture problems',BugReport
'force closes constantly will not let me view comments.',BugReport
'ive always used facebook movie mobile but lately ive been having problems with my timeline not refreshing with the current update.',BugReport
'when i open a picture in this app it irritates me by opening previously opened picture .',BugReport
'wont load anything when connected to wifi then it started not loading anything at all.',BugReport
'this application was great before the last update when i open a pic it opens a different pic.',BugReport
'always force closes when i try to log in to games thru facebook.',BugReport
'i get a forceclose every other time i open facebook now and its driving me nuts.',BugReport
'then when i reopen it it takes minutes to load everything and the pictures take about 5 minutes longer.',BugReport
'fix this thing no network error  the app es near useless',BugReport
'so sick and tired of getting network error messages when at the same time facebook web works fine',BugReport
'i always have to close the app from my multi-tasking so that the next time i open it it will hopefully load my newsfeed.',BugReport
'this is constantly having problems loading comments.',BugReport
'i have installed and  uninstalled this several time to get an up to date time line.',BugReport
'slow rarely loads anything - pages photos comments - nothing constantly crashes.',BugReport
'i cant change my covert photo from my phone  searching for anything is awful i have to type  then delete then retype then it works.',BugReport
'opening app from a notification after its been running in the background for a while results in endless wait loop.',BugReport
'needs fixed doesnt show the comments or when i chose to look at pictures it doesnt load.',BugReport
'the new update has made it so i continually get network error or no internet connection which is just rubbish.',BugReport
'far too slow never loads  cant see anything  crap any time i refresh it goes straight onto my actual internet ',BugReport
'it worked perfectly fine for me until yesturday when i was on my laptop and changed my password it logged me off my phone so i logged in with the new password and it kept saying error.',BugReport
'keeps playing up freezing lots of force close coming up come on fb sort it out i use it everyday and everyday i have problems',BugReport
'now it tells me i have a single sign-on error which even the great google search has not given me any clues on how to fix.',BugReport
'the only complaint i have is that it has problems loading pics.',BugReport
'the app runs extremely slow and sometimes not at all on the mobile network.',BugReport
'the problem is it is constantly syncing and that drains battery  uninstall for an hour and you will notice huge increase in battery life',BugReport
'after auto correct got a word wrong i went back to change it then the app froze.',BugReport
'however recently i have found myself waiting for an eternity to get anything to load properly if it even does.',BugReport
'when trying to watch a youtube video through fb the option to watch through the youtube app is gone.',BugReport
'pretty frustsince it happens every single time i try to watch a posted youtube video.',BugReport
'and lastly its very slow loading and sometimes doesnt load at all.',BugReport
'the update said faster viewing of photos and now i cant see any pics at all not even profile pics',BugReport
'slow forces close all the time and notifications dont clear from home screen on the phone even when logging off and on again.',BugReport
'afterwards photos are just gray squares and they dont always load when clicked on.',BugReport
'now with the newest update i was hoping the problems would be fixed but instead the pictures wont load at all.',BugReport
'it will not let me change my cover photo fix this 5 stars',BugReport
'message in facebook for android latest version whenever i try to reply to something from a notification also whenever i get this error whatever i had typed in disappears.',BugReport
'lately im constantly getting network error for no reason and constantly error trying to send pics in message',BugReport
'i have tried about twenty times to get on my fb and it say connection lost when i have five bars.',BugReport
'this was a good app but now it will not show some posts or it will arrange them in any order that it wants i.e. first post will be from 2 weeks ago the next post will be from a month ago then the next from today.',BugReport
'and on this galaxy note 10.1 tablet from samsung nothing loads  all i get is network errors even after i tether from my phone  so bullst its my network .',BugReport
'likes and comments dont show up as quickly as they used to.',BugReport
'it was always a bit slow and lagging but now i cant load any content or photos at all no matter how many times i force close or restart my 3g.',BugReport
'my normally super fast experia x8 now goes at quarter speed since installing this app.',BugReport
'last update has made the app not load pics or graphics until several seconds sometimes minutes and very often not at all.',BugReport
'half the time when i use facebook it says network error and wont load when i have perfect 4g signal.',BugReport
'i have to force close and try many different times for facebook to even load.',BugReport
'everything looks nice but when i use the most recent timeline it gives me posts form three weeks ago as most current.',BugReport
'eats all the data and storage to my phone please fix this',BugReport
'lately every time i go into the app it prompts me to find friends go through all of the contacts on my phone.',BugReport
'since the latest update absolutely no photos have been loading',BugReport
'it wont let me change my cover photo it doesnt posts the pictures i post it doesnt send messages and when i try to see when people commented on statuses that i also commented on it takes me to my profile',BugReport
'takes long to open any comments about status updates as well as adding a comment myself.',BugReport
'when liking statuses automatically unlikes please fix.',BugReport
'i cant even open the app its been force closing 20 minutes now',BugReport
'cannkt upload your cover pictures unless you go on your pc or mac to change it sometimes opening pictures do no work',BugReport
'doesnt matter if its wifi or 4g takes forever for anything to load if it loads at all',BugReport
'groups not opening properly it keeps on saying connection lost.',BugReport
'i am now having old posts come back and no new posts',BugReport
'its good and all but the notifications come in late like someone posts something and then 3 minutes later i get it.',BugReport
'this latest update sux everything is slow or doesnt work it is always forced to close everything you click on doesnt work or you have to push it 20 times .',BugReport
'it freezes all the time never lives up to promises and because of the pervasiveness of fb we are just stuck with crap.',BugReport
'my location doesnt post in my status when i update it ',BugReport
'when u upload photos they say they are uploaded but it j6st has the comment with the pictures and thahhh pics not there im sorry cause i loved it and honestly its garbage ',BugReport
'runs fine for a little while then just forcecloses or freezes up.',BugReport
'stop trying to force me to download instagram when i touch an image.',BugReport
'since i updated awhile ago its turned to crap always freezes and never loads.',BugReport
'this apps good but when i open any comment and after back then it is close.',BugReport
'worked fine till the update and now its just slow cant post status and pics.',BugReport
'half the time it dont update and then it crashes or it does not load right has be one a pain in the butt',BugReport
'since the last update the app constantly closes its self.',BugReport
'all i get is a black screen and i let it load for 5 minutes.',BugReport
'facebook now routinely keeps showing old posts that i have made at the top of the news feed even when most recent is selected its been happening for the past couple of weeks.',BugReport
'so much problems and also my notefications keep screwing up and idont even get some chat inboxes back irene wasnt like that before until this update',BugReport
'after upgrading on my phone when i try to get in to fb all i get is a network error',BugReport
'every single time i open facebook it prompts me to find friends',BugReport
'if i say dont sync contacts and not now it means i dont want to find any friends',BugReport
'everytime theres a new update it gets slower then ever.',BugReport
'when ya click on one pic on the news feed it goes 2 a different one its.',BugReport
'i had to uninstall all of the updates and go back to basic facebook since after the last update every time i make a call it causes my phone to go into simode.',BugReport
'now it freezes and then it tells me to force close.',BugReport
'every time i want to post a new status this fb app says i have to check my connection and try again even when i have full signal bars.',BugReport
'it always says loading when i turn the app on but nothing pops up and with wifi may i add.',BugReport
'worked great until i updated now it randomly doesnt load pics  takes forever to upload pics  idk what is going on with it but many times when i get on it will look like everything is working until i click on a like  it will add it but less than a second later remove it.',BugReport
'i have to click several times until it sticks  if ive liked the status before it the screen suddenly skips back to it while removing its like.',BugReport
'need to fix sync bug doesnt sync a single contact crashes all the time uninstalled.',BugReport
'it sux dont work good takes for ever to upload a pic.',BugReport
'if you force shut the app after continual crashes it totally shuts down ur cellnet data connection.',BugReport
'when im lucky enough for it to stay open for a little while its pretty slow and has lots of glitches',BugReport
'and when i try to use emojis in chat facbook crashes - -',BugReport
'i opened this app this morning and it wont even update.',BugReport
'cant open comments sections at all it takes at least 90 secs to view most of my friends images and list goes on.',BugReport
'loading issues cant find secure connection if i delete a post.',BugReport
'used to work wonderfully now however it causes me to lose my connection leaving me unable to refresh anything.',BugReport
'finally stepping it up  edit seems since latest update that now images arent always showing up in news feed or when selected.',BugReport
'all i get is connection error - retry even with the strongest mobile internet connection it only connects now and again.',BugReport
'ive had it downloaded on my phone had to delete it for storage space and i cleared that out before trying to install it said file is invalid or something.',BugReport
'its just dumb that now all.of a sudden i cant download',BugReport
'no pictures load on your news feed or when you click into it.',BugReport
'this app use to be great but now the statuss on the widget never update.',BugReport
'takes forever to load when i first open the app and force closes a lot and is always telling me i have no connection when i have 5 bars',BugReport
'its just a useless app taking up room on my phone for no reason.',BugReport
'now it is super slow and pictures wont even try to load.',BugReport
'when ever i am trying to upload a photo it says uploading failed after 100.',BugReport
'the app crashes pictures loading last to much besides the news feed shows  most recent but it shows top stories',BugReport
'facebook on nexus 7 had been slow lately and now wont even connect anymore.',BugReport
'it keeps force closeing and not loading and freezing please fix other wise it is great',BugReport
'i am always having to exit the app and reopen it for pages to load and most of the time that doesnt even work.',BugReport
'and when i post status or comments they cant to upload and ill write again and again.',BugReport
'the bad when i type more than a few words in a post or comment the app freezes more often than not. i lose everything i typed and have to start again.',BugReport
'freezes up when i click on pictures and is always having to be shut down and reopened.',BugReport
'since latest up date i can no longer view any photos',BugReport
'i have given up posting or searching on facebook too many times because app is incredibly slow.',BugReport
'every sense i installed the update i cant post a status update  it never posts mo matter how many times i try.',BugReport
'having issues now trying to upload photos to facebook.',BugReport
'does not properly show the most recent statuses when i selection most recent.',BugReport
'countless times i receive network error alertsforce closes.',BugReport
'sometimes states there is no internet connection even if i have strong signal.',BugReport
'automatic updates do not work   i hope they fix this soon',BugReport
'some of my posts or comments never shows always says no connection when i have 4g service slow loading when i push like it does not work.',BugReport
'but now fb loads forever about 60 of the time upon opening.',BugReport
'no pictures since the last update sorry i updated now fix this problem soon right now i hate facebook no since in getting on',BugReport
'this app is useless keeps force closing and not  working properly',BugReport
'and it is not loading always it shows connection failed.',BugReport
'i keep having to request my fiance and change my status again and again ive disabled the built in app and re enabled it if nothing changes then im done with it.',BugReport
'i will give it 5 stars if it stops logging me out when im typing a message',BugReport
'ps-sumtyms says no network even though my internet is working.',BugReport
'i constantly have to shut down the app and open it again just to view a photo.',BugReport
'fix it pal it often crash or laggy when i tried to view others fb timeline even though the wifi or 3g is full.',BugReport
'wont let me comment on status or upload pictures smh hurry up fix something',BugReport
'but in my current experience i have been shut out anytime i try and attach photos to both private messages and public posts.',BugReport
'i also experience force closings when trying to scroll comments',BugReport
'since the latest update it always says network error',BugReport
'im running an htc desire android phone and when i try to use the record voice it tells me that error creating audio attachment i was lookin forward to that specific add-on.',BugReport
'when it shows where u are located its on where when you start a post but doesnt go on the wall.',BugReport
'ever since the update that was supposed to fix issues with pictures pictures dont load properly.',BugReport
'keeps showing top posts all the time even after changing to most recent.',BugReport
'some of my posts or comments never shows always says no connection when i have 4g service slow loading when i push like it does not work.',BugReport
'please fix the bugs it force closes every time when opening the app  cant it be sent to sd card.',BugReport
'i always have problems trying to see picks on my wall because it refuses to load.',BugReport
'when i share to many photos and what-not i get blocked for two days from sharing anything',BugReport
'lots of waiting for simple posts to load and its not a connection issue.',BugReport
'pictures dont load way too many ads and sponsored posts it just seems to get worse and worse.',BugReport
'the major problem i believe is you somehow created a memory leak.',BugReport
'i say this because i noticed the more you use the app the progressively worse it gets until it doesnt even open or when it needs more memory for lets say a message and a notification at the same time it crashes.',BugReport
'my s planner in my galaxy s3 freezes when i sync it if im logged in this facebook app',BugReport
'because it is terriable that when someone uploads a photo of you and you get the alert but when they send you a message you dont get an alert.',BugReport
'everything is super slow and network errors when my connection is strong and forced closes.',BugReport
'ive now had to uninstall the latest update because it intermittently stopped the touch screen working on my desire hd.',BugReport
'hangs like all the time and when using the search it is the slowest.',BugReport
'gives connection error and the most irritating thing when i open notifications of fb from my notification bar they dont open.',BugReport
'cant upload pics for 5 days straight now.half the time it shows statuses from days ago but not the 1 i just posted.',BugReport
'it also still tells me network error when my connection is perfectly fine',BugReport
'the only issue im currently having is with the search bar.',BugReport
'my phone hasnt got a big internal memory but it doesnt help when before i even log in the app size goes from 19.something mb to 24.something mb and up to 29 mb as soon as i log in is those really necessary',BugReport
'everything was going good but now i caint upload photos like its always something new come on guys tighten up',BugReport
'a lot of times if i click on a picture a different one shows up.',BugReport
'was working fine last weekbut now i cant upload pictures on my galaxy iii',BugReport
'does not load pictures does not connect has and error for everything to many ads.',BugReport
'keeps saying i hate a network connection problem even when i have all bars',BugReport
'i hate it that when there is a problem posting a comment the app erases everything i typed in instead of holding the content for another try',BugReport
'i have a motorola electrify 2 not an old pos phone so this app should work on my phone it wont allow me to post status and says theirs errors when up loading pics or sending pics in emails.',BugReport
'it crashes a lot in the background syncs useless info to my phone  the stuff that goes on facebook nowadays.',BugReport
'the issues that i am having are as follows when i or any of my friends post messages on our statuses no matter how much time has passed in reality  it always says just now. whether i tap to enlarge or not it will not show.',BugReport
'and just a few minutes ago i tried to leave my review but even that had a problem',BugReport
'facebook was perfectly fine until this last update now pictures dont show up.',BugReport
'i have always had the pictures on fb show well on my android phone but recently they are not showing up at all.',BugReport
'i even got wifi installed thinking that would help and no change on either status at all.',BugReport
'can you please fix the picture issue seems like its an issue to some so please exhibit good customer service and fix this please',BugReport
'when ever i go on at a random time it will go back to my home page',BugReport
'ive even sat right next to the router and it keeps saying no connection',BugReport
'since the new update every time i click on a photo from my news feed i get a different photo from the same album i go back and it happens again this happens a about 5-9 times per photo',BugReport
'worked fine before but now its not showing me the most recent posts its showing me last weeks posts and i have it set to show recent posts',BugReport
'why have the last few updates make it to where the pictures dont load correctly',BugReport
'since the new update any picture i upload from my phone will not show on my timeline',BugReport
'initially this app worked very well but now it absolutely will not upload photos.',BugReport
'also it no longer shows the city when you update your status which really makes it appear inferior to the ios app',BugReport
'fix facebook its so annoying to have to force close the app all the time bcuz the update is crap',BugReport
'thank you so much for fixing facebooks uploading status problem.',BugReport
'update 21113 saying network error when my 4g is full.',BugReport
'very rarely refreshes newsfeed and tells me it cant post my status as there is a problem but when.',BugReport
'the problem is that it either capitalizes every word or runs them all together.',BugReport
'since it wont let me see the comment field while the keyboard is open  i cant fix it.',BugReport
'update then force close go to manage app clear data restart fb sign in.',BugReport
'really slow no networkfeed is slowpictures wont upload.',BugReport
'for some reason facebook takes to long to load now days so it becomes very boring',BugReport
'when i try repeatedly it ends up posting 47 of the same pic an hour later',BugReport
'it keeps stopping after 5 seconds of opening it please help',BugReport
'it used to work great but after the last update it wont show new posts.',BugReport
'cant delete my photos comments fix it an make it faster it hangs a lot thats all',BugReport
'photos wont load when i press them and if they do its a different photo',BugReport
'its not letting me get in the app just keeps having that circle going on and on.',BugReport
'keep the app installed to keep caand contact info in sync.',BugReport
'as of march 28 2012 when notifications come up they are unclickable.',BugReport
'when the like button is clicked at the lower right of a picture people who liked the photo are not brought up.',BugReport
'pictures havent loaded on galaxy s1 in last couple weeks',BugReport
'slows down all my other apps and crashes or freezes up all the time',BugReport
'overall the app is good apart from every so often when i open an image seems to be liked pages it instantly reverts to the previous image the page has posted and i have to end task as so to speak for it to display the newest image.',BugReport
'one other menial yet anoying problem is that when l zoom into an image while my phone is portrait it automatically zooms back to standard size but in landscape l have no issues.',BugReport
'when you click on a picture in your news feed it shows a totally different picture.',BugReport
'updates for ages sometimes doesnt update at all whenever search for anything or anyone screen goes blank.',BugReport
'everytime i like a status or picture when i refresh i shows that i didnt like it',BugReport
'mustve switched my phone off and on about 10 times today as this is only way to get it working when it freezes.',BugReport
'every time i tried to give a review it would always come up with an error and id have to retry several times to get it posted',BugReport
'no matter what the app will not let me reply to anything.',BugReport
'Awesome keyboard just lags with Google takes forever to show up.',BugReport
'Ever since the jellybean update  you have to exit the messaging application and open it up again for word prediction to work.',BugReport
'I find it terribly annoying that now the prediction bar and corrections dont work 50 of the time.',BugReport
'I have to close the keyboard and then reopen for this to work.',BugReport
'After having the language constantly failing to download and now not downloading at all.',BugReport
'But very glitchy on Google chrome keeps typing previous word when pressing the backspace key.',BugReport
'Very very poor set up  it almost never works when you swipe the multi button.',BugReport
'However following the update on my S3 to Jelly Bean it now reverts to the Samsung keyboard as the default every time I restart the phone.',BugReport
'Keeps rebooting vzw gnex and numerous bug reports and posts left unanswered or even unacknowledged using pay version too.',BugReport
'Update Using on the LG Optimus G and the cursor KEEPS  jumping to the top of the field in the middle of sentences.',BugReport
'Used to be the best keyboard ever since jellybean update now on my GS3 it will not hold as default -',BugReport
'Was excelbut pasting has recently broken on my Samsung galaxy s3 which is very frust',BugReport
'I love this keyboard  but I notice a significant decrease in my battery life when I use it.',BugReport
'This app is okay except that the keys are loud when I type so if Im working or hunting I have to change the settings.',BugReport
'And if Im just not finding how to change the setting I apologize but Ive looked everywhere on the phone',BugReport
'This would have been a 4 star but the inability to hide the com button while in a browser renders it nearly useless. Hit it all the time when trying to hit the space bar.',BugReport
'1 - The keyboard reverts to the original Android Keyboard every time the USB storage becomes disconnected.',BugReport
'Great in most circumstances but when sending odometer readings via text for tracking purposes theres no reason for it to track it.',BugReport
'If I take the time to manually capitalize letters and add apostrophes etc then swiftkey shouldnt try to change it.',BugReport
'An example is when you type something on Google search app youre abandoned to the slow typing process again.',BugReport
'giving up until they fix predictive text and make keyboard thy doesnt have all th keys basically touching each other.',BugReport
'i have tried to ask if possible to add numbers on top of the keyboard like on Samsung original keyboard and they sent me to write on their blog. but no one answer nobody care.',BugReport
'Im using the trial keyboard but cant miss the sale off  buy it and waiting for Vietnamese language.',BugReport
'If you are not going to fix it then make it assignable to applications so it can be ignored for apps where it doesnt work.',BugReport
'But when I have to put numbers into a password or messaging someone and using numbers the numbers come out jumbled please look into this sent from my gs3',BugReport
'On occasion the cursor will stop moving beyond the last word so it always appears as if its in the middle of a world no matter what.',BugReport
'The only issue with it is that about 35 of the time the prediction bar does not show upauto correct does not work.',BugReport
'Its not a bad keyboard replacement but it insists on putting a space after periods making it a real pain to type URLs into text messages.',BugReport
'But the predictions bar doesnt appear for for the Samsung at all.',BugReport
'And when Im typing rapidly and trying to press the space button. It hits the. com',BugReport
'Whenever I try to enter a search term this app seems to stop working all together. Why is that',BugReport
'This keyboard is amazing but the only problem I have with it is that when I use Google drive it slows down and lags SO much.',BugReport
'A lot of bugs in connection with hardware keyboards',BugReport
'The app also has trouble downloading the language packs .',BugReport
'Now occasionally the text predictions wont come up AT ALL and it seems like words are being put in that I NEVER was attempting to write.',BugReport
'However  every time I close all apps and ram memory and I go on any sort of message board  texting or any type of typing it doesnt automatically pop up with SwiftKey and it shows the regular crappy keyboard.',BugReport
'Suggestion for the developer make that when the hardware is changed you dont loose all that the app has learned.',BugReport
'Most notably Google now. its very slow whilst using swiftkey.',BugReport
'With a recent update to Jellybean SwiftKey no longer automatically uses predictions when texting.',BugReport
'I have to back out of every message and go back in before it will start fixing typos or using predictive text.',BugReport
'I was very disappointed that when installing the paid version it did NOT import.',BugReport
'The settings from the trial version and now i am left having to battle the same initial problems when i first inatalled the trial.',BugReport
'Since I updated my S3 to Kelly Bean sometimes SwiftKey is not even activating when I go to text or type.',BugReport
'I have to exit whatever Im doing or send a text or 2 before it will start working but as I said its very inconsistent was never an issue while using with ICS.',BugReport
'I love this keyboard hands down the best one on the market only issue is for some reason when I Im typing fast the keyboard always seems to static like a tv with no service I thought it was my phone but now I have the note 2 n same thing.',BugReport
'I just hate how when I click the 123 icon on the keyboard I hate how the layout looks  im use to the regular S3 keyboard 123456789 on the top',BugReport
'Great keyboard only issue I have is when my phone wakes into a text it doesnt use prediction so I have to back out and go back in for the prediction to work',BugReport
'Feeling a small hick when keyboard comes on screen and sometimes it does not work.',BugReport
'Just recently app repeatedly force closes until it is disabled in input settings.',BugReport
'Sometimes word prediction doesnt show up. Have to exit out of keyboard then get back on again for it to appear.',BugReport
'It works great for everything but not so good when add ing non common names.',BugReport
'Frankly some of the predictions are ridiculous you are better off with the normal keyboard.',BugReport
'I recommended it to all of my friends but ever since ics this app has been HORRIBLE.',BugReport
'Only issue found till date is that it crashes often with chrome but that is not a deal breaker for me.',BugReport
'I sure dont mind but at the same time making even speedier and smooth as jelly bean is on my s3 would always be greatly appreciate it.',BugReport
'But after a month of having it it became extremely slow typing on the screen would not happen half the time corrections would not even show up.',BugReport
'But since I root my phone I constantly change roms therefore reseting all my words.',BugReport
'Prediction will sometimes turn off when I sleep the phone.',BugReport
'This work great for a while but now keeps crashing my phone and my phone wont work again until I pull the battery',BugReport
'When locking the screen while having the text field open and the keyboard out and then unlocking the phone the text field rewrites itself and resizes.',BugReport
'Also there is lag in the keyboard processes when sending and receiving messages.',BugReport
'I would like to see the numbers separately above the the first row of the keys. And when on land scape mode it takes up the whole screen and will not show you the text screen.',BugReport
'Nice keyboard but even in its new v3 incarnation theres no dedicated voice key hence losing a star.',BugReport
'Used to work brilliantly with previous android versions but the Swiftkey auto correct function stopped working after using it with Android jelly bean.',BugReport
'As much as is pains me to say this app has been the root of a bunch of problems on my phone. Crashes and freezing are all too familiar when this is active.',BugReport
'Often times when I hit the A key I hit the shift key.',BugReport
'My only issue with this and its a SERIOUS issue with me is that since I got the update for my S III to 4.1 is that I can not find out how to turn off the haptic feedback when I type. The phones settings have it turned off but no matter what I do to try and troubleshoot it nothing works.',BugReport
'As mentioned by others Google search has slowed with the keyboard not appearing for several seconds when using this keyboard.',BugReport
'After updating to jb there is no heptic intensity control. Its always full blast.',BugReport
'Syncing will be great in background with every time the keyboard shows up and disappears.',BugReport
'Updated to Jelly Bean. I have all haptic feedback turned off on my phone but after the update it has been turned back on only using SwiftKey.',BugReport
'My phone stoped responding While using the keyboard seince recent update.',BugReport
'This keyboard was stunning on my old Galaxy Ace2 but I now use Galaxy S3 mini running Jelly Bean 4.1 and now Swiftkey will not work.',BugReport
'The keyboard refuses to pop-up when i require to type  in all apps including txt kingsoft office WhatsApp log-ins etc and I hve to revert to the Samsung keyboard.',BugReport
'Now occasionally the text predictions wont come up AT ALL and it seems like words are being put in that I NEVER was attempting to write.',BugReport
'Also I am not too fond of the fact that when I do spell a word wrong it doesnt automatically insert the correct word.',BugReport
'Now there are 5 croatian letters at most right making all keys unbelievably tiny',BugReport
'Autocorrect no longer works since they put out swiftkey flow.',BugReport
'It still lags on viber but over all it is amazing but yeah when is SwiftKey Flow coming to this app or making a new one the is the flow version',BugReport
'The keyboard is now running slow freezes  takes a while to open and close.',BugReport
'since the update when i type it puts random periods and wrong text.',BugReport
'I get an error message when I try to install the language pack that says there is a problem with the network connection make sure your network connection is working then try again.',BugReport
'I think the problem may be that this new version of the Note is running Jelly Bean.',BugReport
'I see that some others running Jelly Bean are also experiencing problems.',BugReport
'The keyboard sometimes have a lag when typing especially on number pad.',BugReport
'Works perfect but for some reason it lags when I exit the typing mode.',BugReport
'Only thing is that if you screw up the last word of a text message and hit send it doesnt fix that last word before sending.',BugReport
'Please make it fix the last word when we hit send.',BugReport
'Thanks forbalways adding words when i hit the space bar and for always learning the wrong way to spell words.',BugReport
'Often I notice slowdown on my phone and find app taking up RAM for no reason and have to uninstall the Hogs. This is similar to the memory leak problem Firefox has on the desktop.',BugReport
'Its a decent keyboard replacement but I feel that the famous prediction and correction engine is a little overhyped especially the auto correction part.',BugReport
'But frequently it does weird things when trying to type on the Web.',BugReport
'Dolphin Frequently when entering text in a field it repeats the first key press instead of typing the letters I am pressing.',BugReport
'Jelly Bean resets Swiftkey when the phone is restarted.',BugReport
'Now it seems to be making up its own words and not correct anything even when I have cleared the language data.',BugReport
'Only complaint is the amount of RAM needed and the delay that occurs when closing the keyboard after hitting the home button.',BugReport
'Ill give 5 stars when the Jellybean issue is fixed.',BugReport
'I press and hold the prediction and there is no option to delete Its really annoying because common typos then become predictions',BugReport
'The only issue I have is that it is slow to start up at times in most apps.',BugReport
'Please fix the slow start up times and this is a perfect keyboard',BugReport
'The Predictions row gets turned off each time I wake the screen if the keyboard was open when the screen goes to sleep.',BugReport
'Also when I have the keyboard enabled it for some reason disables the handwriting feature in the Samsung Keyboard for the Note 2',BugReport
'My only gripe is that when I hit close to the i  key I sometimes hit the u key instead  and i never use u for you so this bothers me.',BugReport
'It is especially bad when I switch between numberssymbols and letters.',BugReport
'I also have speed issues when Im touch typing like I would on the normal android keyboard.',BugReport
'Its take so much time for pop up and its typing speed is slow',BugReport
'The predictions dont show up and it wont auto correct my words.',BugReport
'Certain behaviors like automatic spacing after periods are a pain in the  when trying to type in my email address that has periods in it.',BugReport
'Bug when typing words beginning with a capital letter on Firefox that word wont be written',BugReport
'Sometimes the auto predict wont even come up when youre textingtyping.',BugReport
'Some of the minor problems I have with it are the fact that the keyboard wants to insert an I if you hit enter after a period.',BugReport
'First the keyboard takes too long to show up  second the keyboard lags when typing rapidly it used to be buttery smooth.',BugReport
'Ill go back to fix it and when I press the backspace button it adds chucks of words instead of erasing.',BugReport
'Also when typing in all capitals the auto correct is very bad. Especially the first one.',BugReport
'When I just had the trial version the app worked like a charm but now it freezes from time to time for no apparent reason.',BugReport
'I commonly have the problem that it will not do predictions in landscape mode.',BugReport
'Now its just like any other keyboard not keeping my regularly used terms in its dictionary.',BugReport
'I have noticed that the standard Samsung keyboard method will come back every now and then and I have to swipe to get the notification center and change back to SwiftKey 3 from Samsung keyboard on my Galaxy S3. It will happen every time I restart the phone and then try to text or anything else.',BugReport
'On occasion the cursor will stop moving beyond the last word so it always appears as if its in the middle of a world no matter what.',BugReport
'If I just press space bar many times it writes a long sentence somebody else wrote me in an email.',BugReport
'On occasion the cursor will stop moving beyond the last word so it always appears as if its in the middle of a world no matter what.',BugReport
'Easily the best keyboard on Google Play just needs to catch up with Asian language support especially Japanese.',BugReport
'Prediction and ai learning how you type stopped working',BugReport
'When I use the multitasking multi windows the SwiftKey keyboard stays the same size when in the Samsung keyboard it gets smaller and the keyboard Window is able to be moved around.',BugReport
'I hate how it keeps capitalizing the letter i even tho auto capital is off.',BugReport
'Just recently app repeatedly force closes until it is disabled in input settings.',BugReport
'it made me continuously click a frog in a bubble then froze up on me so i deleted it.',BugReport
'i was on level 36 and now i update and lose everything all because you decide to force me to update to a flawed version thank you for ruining this game',BugReport
'did not get my fishbucks when i download game also played the froggy event and did not get breedable frog to breed',BugReport
'the fish that im breeding for the current event are disappearing when i move them into the tank.',BugReport
'great only thing that sucks is fish buck free offers. when ya try putting in numbers it kicks you out of the offers.',BugReport
'the game is great the only problem is that my memory on my phone fills up to fast and the weather makes it lage a little but been a loyal fan and player for a year or so.',BugReport
