@relation C__Users_nisha_Desktop_Weka_BOF_Training

@attribute text string
@attribute @@class@@ {BugReport,FeatureRequest,Other}

@data
'Getting Frequency Increment Timespan Secrecy_status Temporal_collocation Operate_vehicle',BugReport
'Temporal_collocation Temporal_collocation Removing Calendric_unit Placing Physical_artworks Have_as_requirement Calendric_unit Duration_attribute',BugReport
'Resolve_problem Quantity Network',BugReport
'Medical_conditions Biological_urge Bringing Network Statement Temporal_collocation Identicality Measure_duration Network Being_operational Desirability',BugReport
'Required_event Frequency Social_connection Relative_time Timespan Secrecy_status Placing',BugReport
'Frequency Possession Predicament Placing Statement',BugReport
'Continued_state_of_affairs Change_of_leadership Quantity Timespan Getting Measure_duration Compliance',BugReport
'Quantity Contacting Becoming Statement Frequency Impact',BugReport
'Required_event Undergo_change Secrecy_status Intentionally_act Contacting Scrutiny Desirability Type Temporal_collocation Temporal_collocation Temporal_collocation Being_operational',BugReport
'Measure_duration Secrecy_status Telling Operating_a_system Causation',BugReport
'Needing Resolve_problem Evidence Statement Temporal_collocation Choosing Perception_active Physical_artworks Placing',BugReport
'Arriving Age Getting Network Quantity Social_connection',BugReport
'People_along_political_spectrum Sufficiency Taking_time Frequency Quantity Grasp Quantity Timespan Amassing Becoming Actually_occurring_entity',BugReport
'Working_on Desirability Temporal_collocation Cause_change Using Contacting Age Source_of_getting Activity_ongoing Statement',BugReport
'Activity_ongoing Performers_and_roles Locative_relation Activity_pause Military Social_connection Arriving Locative_relation Arriving Using Possession Predicament',BugReport
'Temporal_collocation Telling Possession Sole_instance Sign Desirability Scrutiny Giving Quantity Supply Predicament',BugReport
'Sole_instance Complaining Possession Predicament Placing',BugReport
'Self_motion Taking_time Frequency Quantity Bringing Network',BugReport
'Predicament Frequency Removing Offenses Measure_duration Becoming_aware Size Change_position_on_a_scale Offenses',BugReport
'Suitability Getting Simple_name Motion Taking_sides Undergo_change Temporal_collocation Activity_pause',BugReport
'Concessive Temporal_collocation Becoming_aware Waiting Getting Placing Intentionally_act',BugReport
'Temporal_collocation Attempt Perception_active Possibilities Perception_active Motion',BugReport
'Event Frequency Sole_instance Timespan Attempt Perception_active Sending',BugReport
'Degree Taking_time Frequency Placing Quantity',BugReport
'Statement Perception_active Measure_duration Temporal_collocation Perception_experience Quantity Quantity',BugReport
'Frequency Taking_time Military Social_connection Telling Obviousness Buildings Contacting Temporal_collocation Locative_relation',BugReport
'Time_vector Relational_quantity Relational_quantity Locale_by_use Frequency Placing Temporal_collocation Make_noise',BugReport
'Temporal_collocation Age Desiring Predicament Resolve_problem Physical_artworks Placing Quantity',BugReport
'Grant_permission Undergo_change Filling Being_obligated Predicament Performers_and_roles',BugReport
'Text_creation Statement Relative_time Type Attempt Communication_response Telling Getting Departing',BugReport
'Frequency Bringing Network Quantity Causation Frequency Attempt Sending Statement',BugReport
'Attempt Cardinal_numbers Timespan Getting Statement Social_connection Finish_competition Temporal_collocation Possession Cardinal_numbers Buildings',BugReport
'Relational_quantity Temporal_collocation Evidence Relational_quantity Sending Arranging Quantity Purpose Desiring Ordinal_numbers Sending Cardinal_numbers Calendric_unit Relative_time Sending Calendric_unit Time_vector Temporal_collocation Locative_relation Calendric_unit',BugReport
'Becoming_aware Quantity Quantity Getting Network Attaching Contacting Network',BugReport
'Similarity Statement Evidence Locative_relation Speed Using',BugReport
'Quantity Frequency Taking_time Temporal_collocation Placing Quantity Amassing Quantity Quantity Quantity Timespan Military Social_connection Activity_resume',BugReport
'Desirability Speed Temporal_collocation Compatibility Part_whole Intoxicants Installing',BugReport
'Ordinal_numbers Causation Placing Quantity Measure_duration Frequency Measure_duration Degree Frequency Quantity',BugReport
'Part_whole Timespan Temporal_collocation Using Statement Network Placing Temporal_collocation Possession Usefulness Gesture',BugReport
'Required_event Military Social_connection Attempt Quantity Similarity Timespan Placing',BugReport
'Appearance Stimulus_focus Temporal_collocation Using Relative_time Giving Sending Reshaping Cardinal_numbers Measure_duration Time_vector Temporal_collocation',BugReport
'Ingestion Quantity Information Storing Contacting Predicament',BugReport
'Frequency Timespan Motion Cause_to_start Locating Personal_relationship Becoming Quantity Contacting Contacting',BugReport
'Relative_time Quantity Attributed_information Placing',BugReport
'Grant_permission Undergo_change Topic Businesses Sending Physical_artworks Sending Sending Statement Temporal_collocation Attempt Grasp Temporal_collocation People Statement Statement Removing',BugReport
'Removing Duration_attribute Secrecy_status Quantity Statement Statement Statement',BugReport
'Temporal_collocation Similarity Stimulus_focus Resolve_problem',BugReport
'Secrecy_status Military Social_connection Cardinal_numbers Calendric_unit Temporal_collocation',BugReport
'Process_continue Filling Physical_artworks Cause_change Frequency Secrecy_status Physical_artworks Intentionally_act Quantity Working_on',BugReport
'Removing Placing Quantity Quantity',BugReport
'Aggregate Secrecy_status Cause_to_continue Statement Social_connection Earnings_and_losses',BugReport
'Temporal_collocation Age Sending Arriving Taking_sides Quantity Age Sending',BugReport
'Desirability Quantity Telling Arriving Temporal_subregion Sending Temporal_collocation Cardinal_numbers Calendric_unit Relative_time Getting',BugReport
'Being_obligated Relative_time Taking_time Being_employed Frequency Cause_motion Social_connection Sounds Working_on Cause_change_of_position_on_a_scale Cardinal_numbers Timespan',BugReport
'Frequency Being_up_to_it Causation Activity_pause Frequency Residence Commitment Being_attached',BugReport
'Locale Sending Temporal_collocation',BugReport
'Temporal_collocation Becoming Statement Possession Statement Physical_artworks Existence Contrition Causation Experiencer_focus',BugReport
'Quantity Self_motion Desirability Temporal_collocation Activity_pause Locative_relation',BugReport
'Thwarting Attempt Military Temporal_collocation Quantity Similarity',BugReport
'Becoming Frequency Activity_pause Frequency Quantity',BugReport
'Desirability Temporal_collocation Secrecy_status Quantity Statement Taking_sides Temporal_collocation Social_connection',BugReport
'Working_on Desirability Temporal_collocation Taking_time Sending',BugReport
'Part_whole Measure_duration Temporal_collocation Impact Intentionally_act Placing Correctness Cardinal_numbers Cause_harm',BugReport
'Relative_time Frequency Social_connection Attributed_information',BugReport
'Quantity Getting Color Grant_permission Placing Calendric_unit',BugReport
'Temporal_collocation Cause_to_continue Evidence Age Sending Cause_change Occupy_rank Temporal_collocation Relative_time Choosing Event Relative_time Personal_relationship Measure_duration',BugReport
'Bungling Relational_quantity Predicament Activity_ongoing Getting Relational_quantity Chatting Taking_sides',BugReport
'Contacting Temporal_collocation Attempt Getting Quantity Getting Network',BugReport
'Frequency Sole_instance Timespan Secrecy_status Cause_to_start Locating Personal_relationship',BugReport
'Statement Contacting Temporal_collocation Linguistic_meaning Desiring Becoming_aware Quantity Personal_relationship',BugReport
'Familiarity Getting Temporal_collocation',BugReport
'Temporal_collocation Sounds Cardinal_numbers Compatibility Cardinal_numbers Similarity Cardinal_numbers',BugReport
'Being_obligated Quantity Motion Taking_sides Being_necessary Relative_time Frequency Measure_duration Intentionally_create Visiting Causation Contacting Motion',BugReport
'Temporal_collocation Activity_pause Temporal_collocation Telling Military Social_connection',BugReport
'Required_event Frequency Measure_duration Desiring Sending Familiarity Statement Inspecting Social_connection Attempt Temporal_collocation Possession Completeness Gesture Buildings',BugReport
'Frequency Statement Temporal_collocation Cause_change Ingest_substance Locative_relation Likelihood Statement',BugReport
'Process_continue Being_employed Desirability Temporal_collocation Relational_quantity Placing Removing Quantity Timespan Temporal_collocation Becoming Perception_active Being_employed Sounds Statement Ordinal_numbers Relative_time Removing',BugReport
'Required_event Sounds Quantity Timespan Shapes Experiencer_focus Self_motion Taking_sides Removing',BugReport
'Frequency Needing Predicament Sole_instance Contacting Motion_noise',BugReport
'Working_on Desirability Taking_time',BugReport
'Military Body_movement Impact Degree Body_movement Information Social_connection',BugReport
'Quantity Temporal_collocation Luck Sufficiency State_continue Secrecy_status Taking_time Possession',BugReport
'Temporal_collocation Attempt Using Chatting Impact',BugReport
'Secrecy_status Calendric_unit',BugReport
'Relational_quantity Process_continue Secrecy_status Statement Part_whole Quantity Removing Cardinal_numbers Categorization Relational_quantity Personal_relationship Sensation Text',BugReport
'Point_of_dispute Locating Protecting Social_connection Sending',BugReport
'Using Working_on Temporal_collocation Concessive Causation Earnings_and_losses Social_connection Giving Capability Project',BugReport
'Time_vector Self_motion Appearance Relative_time Temporal_collocation Sensation Frequency Evidence Locative_relation Temporal_collocation Choosing',BugReport
'Quantity Getting Social_connection Exertive_force Bringing Social_connection Sole_instance Cognitive_connection Temporal_collocation',BugReport
'Being_obligated Contacting Storing Removing Locative_relation Attempt Installing Statement Submitting_documents',BugReport
'Temporal_collocation Quantity',BugReport
'Quantity Physical_artworks Placing Temporal_collocation Sounds',BugReport
'Purpose Desirability Temporal_collocation Frequency',BugReport
'Quantity Removing Placing Temporal_collocation First_experience Secrecy_status Military Social_connection Frequency Telling Possession Quantity Social_connection Temporal_collocation Possession Buildings',BugReport
'Ingest_substance Locative_relation Building_subparts Contacting Quantity Causation',BugReport
'Temporal_collocation Taking_time Physical_artworks Attempt Placing',BugReport
'Temporal_collocation Attempt Project Statement Successful_action Cardinal_numbers',BugReport
'Impact Physical_artworks Placing Relative_time Relational_quantity Evidence Relative_time Evidence Occupy_rank',BugReport
'Taking_time Temporal_collocation Cognitive_connection',BugReport
'Activity_ongoing Military Social_connection Placing Activity_pause Predicament Increment Mental_property Desirability',BugReport
'Required_event Frequency Departing Contacting Placing Relational_quantity Measure_duration Being_employed',BugReport
'Temporal_collocation Sending Statement Text_creation',BugReport
'Quantity Being_obligated Desirability Temporal_collocation Type Increment Simple_name Sending Statement Activity_pause Increment Frequency Earnings_and_losses Text_creation Activity_start',BugReport
'Being_obligated Activity_pause Temporal_collocation Sounds Physical_artworks Frequency Body_movement Direction',BugReport
'Temporal_collocation Relative_time Food Capability Categorization Quantity Event',BugReport
'Giving Locative_relation Sending Scrutiny Sufficiency Quantity Timespan Taking_time',BugReport
'Frequency Linguistic_meaning Change_of_leadership Sending Frequency Sending Quantity Timespan Attempt',BugReport
'Point_of_dispute Temporal_collocation Attempt Amassing',BugReport
'Intentionally_act Evidence Relative_time Temporal_collocation Becoming Relative_time',BugReport
'Timespan Receiving Network Social_connection',BugReport
'Existence Frequency Statement Quantity Social_connection Possession Exertive_force Gesture',BugReport
'Intentionally_act Usefulness Desiring Predicament',BugReport
'Relational_quantity Sending Statement Frequency Evidence Frequency Statement Quantity Social_connection Temporal_collocation Possession Rite Taking_time Temporal_collocation Cause_motion Intentionally_act Usefulness',BugReport
'Temporal_collocation Quantity Cardinal_numbers Measure_duration',BugReport
'Quantity Physical_artworks Relative_time Contrition Temporal_collocation Resolve_problem Predicament Correctness Temporal_collocation Experiencer_focus Bringing',BugReport
'Military Social_connection Working_on',BugReport
'Placing Frequency Evidence Social_connection Successful_action',BugReport
'Being_obligated Activity_ongoing Request Undergo_change Render_nonfunctional Building Undergo_change Temporal_collocation Intentionally_act',BugReport
'Giving Performers_and_roles Halt Temporal_collocation Text_creation Statement',BugReport
'Statement Quantity Network Being_employed',BugReport
'Required_event Frequency Body_movement Direction Secrecy_status Categorization Using',BugReport
'Resolve_problem Personal_relationship Frequency Impact Temporal_collocation Attempt Categorization Increment Fullness',BugReport
'Grant_permission Statement Physical_artworks Self_motion Predicament',BugReport
'Temporal_collocation Expertise Body_movement Locative_relation Attempt Attaching Becoming Quantity Statement Secrecy_status Sending',BugReport
'Expertise Military Temporal_collocation Attempt Statement',BugReport
'Relative_time Frequency Statement Network',BugReport
'Operating_a_system Desiring Contacting Temporal_collocation Attempt Using Recording Telling Creating Attaching Sending',BugReport
'Process_continue Temporal_collocation Evidence Locative_relation Being_located Locative_relation Temporal_collocation Activity_start Sending Architectural_part',BugReport
'Required_event Predicament Point_of_dispute Physical_artworks Physical_artworks Placing',BugReport
'Frequency Activity_ongoing Evidence Occupy_rank Sending Exchange Relative_time',BugReport
'Relational_quantity Sending Statement Frequency Evidence Frequency Statement Quantity Social_connection Temporal_collocation Possession Rite Taking_time Temporal_collocation Cause_motion Intentionally_act Usefulness',BugReport
'Stimulus_focus Resolve_problem Military Social_connection Frequency Measure_duration Temporal_collocation Secrecy_status Sending',BugReport
'Frequency Possession Predicament Attempt Perception_experience Choosing Architectural_part Agree_or_refuse_to_act Placing',BugReport
'Temporal_collocation Quantity Source_of_getting Becoming Eclipse Cardinal_numbers Measure_duration',BugReport
'Waiting Sending Placing Social_connection Point_of_dispute',BugReport
'Physical_artworks Placing Sufficiency Quantity Sending Appearance Becoming Desirability Desirability',BugReport
'Importance Predicament Awareness Cause_to_start Remembering_experience',BugReport
'Statement Becoming_aware Increment Using Desirability Getting Secrecy_status Temporal_collocation Needing Increment Remembering_experience Grant_permission Statement Statement Telling Identicality Measure_duration Motion_noise',BugReport
'Activity_pause Temporal_collocation',BugReport
'Temporal_collocation Membership Getting Attention Temporal_collocation Sending Statement Getting Attention',BugReport
'Taking_time Network Temporal_collocation Social_connection Exertive_force Cause_motion Social_connection',BugReport
'Being_obligated Temporal_collocation Relative_time Activity_stop Quantity Being_employed Desiring',BugReport
'Frequency Contingency Temporal_collocation Using Scrutiny Taking_time',BugReport
'Giving Social_connection Stimulus_focus Temporal_collocation Secrecy_status Telling Telling Buildings Secrecy_status',BugReport
'Calendric_unit Temporal_collocation Part_whole Timespan Evidence Measure_duration Time_vector Sending',BugReport
'Continued_state_of_affairs Telling Network Temporal_collocation Social_connection Desirability',BugReport
'Sole_instance Point_of_dispute Temporal_collocation Scrutiny Buildings',BugReport
'Contacting Getting Size Remembering_experience Assistance Temporal_collocation Becoming Being_necessary',BugReport
'Motion Desirability Temporal_collocation Using Frequency Age Arriving People Locative_relation',BugReport
'Quantity Timespan Sounds Physical_artworks Identicality Cardinal_numbers Evidence',BugReport
'Working_on Desirability Ordinal_numbers Temporal_collocation Physical_artworks',BugReport
'Intentionally_act Placing Physical_artworks Intentionally_act Cognitive_connection Quantity',BugReport
'Activity_ongoing Statement Experiencer_focus Network Social_connection Predicament Temporal_collocation Possession Quantity Buildings',BugReport
'Existence Text_creation Experiencer_focus Temporal_collocation Predicament Sending Statement Inhibit_movement Increment Attempt',BugReport
'Possession Cardinal_numbers Age Contacting Required_event Working_on Contacting Grant_permission Sending Statement Temporal_collocation Placing Sending Contacting',BugReport
'Quantity Process_continue Impact Type Contacting Placing',BugReport
'Point_of_dispute Possession Cotheme Temporal_collocation Quantity Personal_relationship Statement Quantity Relational_quantity Measure_duration Traversing Frequency Statement Temporal_collocation Impact Expansion Evidence',BugReport
'Quantity Measure_duration Time_vector Attempt Departing Predicament',BugReport
'Desirability Relative_time Temporal_collocation Physical_artworks Evidence',BugReport
'Frequency Possession Physical_artworks Evidence Contacting Temporal_collocation Evidence Locative_relation Quantity',BugReport
'Getting Change_of_leadership Assistance Quantity Undergo_change Quantity',BugReport
'Capability Stimulus_focus Predicament Physical_artworks Point_of_dispute Appearance Point_of_dispute Relational_quantity Cotheme Desirability Rite Predicament Stimulus_focus',BugReport
'Process_continue Temporal_collocation Temporal_collocation Measure_duration Motion Taking_sides Buildings Contacting',BugReport
'Locative_relation Being_located Correctness Cause_to_continue Statement Quantity Social_connection',BugReport
'Age Frequency Measure_duration Sounds Part_inner_outer Getting Similarity Inclusion Identicality Motion Taking_sides Event Event Timespan Source_of_getting',BugReport
'Working_on Desirability Temporal_collocation Evidence Relative_time Sending Evidence Ordinal_numbers Measure_duration Sending Placing Evidence Relative_time Sending',BugReport
'Arriving Reason Possession Ordinal_numbers Quantity Locative_relation Physical_artworks Placing',BugReport
'Age Quantity Physical_artworks Contacting Evidence',BugReport
'Working_on Degree Temporal_collocation Weapon',BugReport
'Temporal_collocation Arriving Evidence Political_locales Temporal_collocation Appearance Desirability',BugReport
'Frequency Being_obligated Resolve_problem Stimulus_focus Military Social_connection',BugReport
'Judgment_direct_address Relational_quantity Resolve_problem Predicament',BugReport
'Statement Network Temporal_collocation Fullness',BugReport
'Existence Degree Inclusion Telling Sending Predicament Temporal_collocation',BugReport
'Predicament Frequency Simple_name Self_motion Quantity Collaboration',BugReport
'Grant_permission Perception_experience Statement Fields Secrecy_status Predicament',BugReport
'Temporal_collocation Military Social_connection Motion Operating_a_system Obviousness Information Activity_resume Sign',BugReport
'Quantity',BugReport
'Relational_quantity Causation Removing Duration_attribute Placing Temporal_collocation Calendric_unit Becoming Degree Stimulus_focus',BugReport
'Temporal_collocation Attempt Process_end Sending Identicality Measure_duration Time_vector',BugReport
'Activity_ongoing Halt Measure_duration Secrecy_status Stimulus_focus Assistance',BugReport
'Using Working_on Desirability Relative_time Evidence Familiarity Sending',BugReport
'Arriving Quantity Identicality Statement Predicament Contingency Quantity',BugReport
'Continued_state_of_affairs Placing Temporal_collocation Attempt_suasion Intentionally_act Similarity Inclusion',BugReport
'Process_continue Grant_permission Getting Cause_to_continue Shapes',BugReport
'Activity_ongoing Installing Activity_ongoing Contacting Project',BugReport
'Calendric_unit Temporal_collocation Telling Arriving',BugReport
'Temporal_collocation Similarity Closure Impact Position_on_a_scale Correctness Physical_artworks People Experiencer_focus Substance Bringing Locative_relation',BugReport
'Physical_artworks Placing Relative_time Personal_relationship Measure_duration',BugReport
'Frequency Quantity Increment Impact Activity_pause',BugReport
'Being_obligated Clothing Desirability Frequency Frequency Temporal_collocation Secrecy_status Similarity Appearance Experiencer_focus Contacting Relative_time Similarity Contacting Sending Cause_to_end Being_obligated Statement Age Similarity',BugReport
'Cardinal_numbers Increment Predicament Temporal_collocation Similarity Contacting Taking_sides Possession Quantity Point_of_dispute',BugReport
'Temporal_collocation Sounds Physical_artworks Evidence Degree Similarity Physical_artworks',BugReport
'Calendric_unit Frequency Quantity Scrutiny Compatibility',BugReport
'Similarity Physical_artworks Temporal_collocation Intentionally_act Evidence',BugReport
'Change_tool Contacting Locative_relation Cardinal_numbers Timespan Calendric_unit Sole_instance Roadways Getting Being_employed Temporal_collocation Activity_pause',BugReport
'Required_event Frequency Timespan Attempt Giving Frequency Arriving Locative_relation Quantity Timespan Getting Sending',BugReport
'Quantity Grant_permission Communication_response',BugReport
'Removing Evidence Locative_relation',BugReport
'Required_event Departing Using Secrecy_status Locative_relation Simple_name Expectation Usefulness',BugReport
'Locating Stimulus_focus Temporal_collocation Expectation Buildings Working_on Cardinal_numbers Measure_duration',BugReport
'Required_event Social_connection Temporal_collocation Working_on',BugReport
'Possession Frequency Success_or_failure Temporal_collocation Quantity',BugReport
'Degree Cause_to_continue Text_creation Relative_time Simple_name Temporal_collocation Attempt_suasion Importance',BugReport
'Degree Degree Wealthiness Aggregate Relational_quantity Frequency Usefulness Temporal_collocation Closure',BugReport
'Concessive Relative_time Temporal_collocation Frequency Timespan Activity_resume Contacting',BugReport
'Activity_ongoing Quantity Statement Sending Departing Using Commerce_pay Type Sufficiency',BugReport
'Using Cause_to_continue Self_motion Occupy_rank Fields Part_inner_outer Sentencing',BugReport
'Using Usefulness Temporal_collocation Defend',BugReport
'Temporal_collocation Compliance Degree',BugReport
'Experiencer_focus Becoming_aware Importance Change_position_on_a_scale Offenses Temporal_collocation Using',BugReport
'Required_event Desirability Natural_features Sound_level Temporal_collocation Type Being_employed Hunting Undergo_change',BugReport
'Locating Undergo_change Scrutiny Locative_relation Contacting',BugReport
'Frequency Cardinal_numbers Performers_and_roles Hiding_objects Closure Causation Relational_quantity Impact Temporal_collocation Attempt Impact Buildings',BugReport
'Frequency Timespan Storing Becoming',BugReport
'Usefulness Relational_quantity Temporal_collocation Sending Reading Cotheme Purpose Quantity Causation Roadways',BugReport
'Have_as_requirement Measure_duration Text Cause_change_of_position_on_a_scale Temporal_collocation Attempt Undergo_change',BugReport
'Instance Temporal_collocation Type Scrutiny Abandonment Taking_time Process',BugReport
'Giving Locative_relation Predicament Cause_change Possession Quantity Natural_features Stimulus_focus Increment',BugReport
'Attempt Questioning Likelihood Statement Quantity Occupy_rank Sending Text_creation Quantity Cardinal_numbers Communication_response',BugReport
'Using Trial Success_or_failure Commerce_sell Commerce_buy Waiting Temporal_collocation',BugReport
'Arriving Motion Predicament Temporal_collocation Purpose Capability Locative_relation Being_employed',BugReport
'Required_event Temporal_collocation Placing Quantity Substance Using Quantity Quantity Arriving Locative_relation Intentionally_act Stimulus_focus Perception_active',BugReport
'Halt Motion Relative_time Simple_name Frequency Appearance Part_inner_outer Political_locales Quantity',BugReport
'Sole_instance Point_of_dispute Measure_duration Expectation Buildings Intentionally_act Evidence Suitability Intentionally_act Working_on',BugReport
'Arriving Desirability Take_place_of Statement Placing Frequency Existence Cause_harm Type Statement',BugReport
'Expectation Buildings Appearance Quantity',BugReport
'Temporal_collocation Text_creation Becoming Attempt Attempt_suasion Closure Impact',BugReport
'Attempt Arriving Scrutiny Simple_name Appearance Thwarting Working_on Quantity Collaboration Reason',BugReport
'Stimulus_focus Sole_instance Predicament Temporal_collocation Using Operate_vehicle Direction Relational_quantity',BugReport
'Quantity Social_connection',BugReport
'Possession Predicament Aggregate',BugReport
'Temporal_collocation Continued_state_of_affairs Expectation Arriving Locative_relation Appearance Simple_name Placing Frequency Attempt Text_creation',BugReport
'Process_continue Concessive Frequency Measure_duration Social_connection Quantity Remembering_experience Quantity Type Statement Board_vehicle Quantity Type Text_creation Ingest_substance Locative_relation Evidence Desirability',BugReport
'Manufacturing Temporal_collocation Undergo_change Being_detached Quantity Coming_to_believe',BugReport
'Temporal_collocation Degree Taking_time Using',BugReport
'Temporal_collocation Relative_time Using Expectation Temporal_collocation',BugReport
'Required_event Going_back_on_a_commitment Frequency Statement Motion Taking_sides Activity_start Resolve_problem Using',BugReport
'Degree Experiencer_obj Temporal_collocation Installing Commerce_pay Type Intentionally_act Importing',BugReport
'Required_event Trial Type Temporal_collocation Departing Hostile_encounter Identicality Version_sequence Predicament Temporal_collocation First_experience Trial',BugReport
'Frequency Change_operational_state Temporal_collocation Motion Type',BugReport
'Required_event Departing Intentionally_act Sending Cardinal_numbers Activity_start Being_employed Statement Degree Frequency Point_of_dispute Using',BugReport
'Experiencer_focus Observable_body_parts Desirability Cardinal_numbers Sole_instance Point_of_dispute Relational_quantity Causation Temporal_collocation Text_creation Speed Frequency Appearance Quantity Rite Opinion Contacting Temporal_collocation Possession Statement Cardinal_numbers Identicality',BugReport
'Experiencer_focus Temporal_collocation Sounds Experiencer_focus Appearance Using Occupy_rank',BugReport
'Required_event Going_back_on_a_commitment Desirability Sole_instance Point_of_dispute Temporal_collocation Contacting Cause_to_wake Purpose Expectation Motion Taking_sides Expectation Usefulness',BugReport
'Feeling Dimension Temporal_collocation Arriving Frequency Intentionally_act Usefulness',BugReport
'Temporal_collocation Military Social_connection Render_nonfunctional',BugReport
'Required_event Partitive Revenge Frequency Simple_name Expectation Evidence Locative_relation Departing Temporal_collocation Appearance',BugReport
'Being_operational Desirability Desirability Temporal_collocation Being_named',BugReport
'Relational_quantity Expectation Mental_property Desirability Temporal_collocation',BugReport
'Quantity Personal_relationship Desirability',BugReport
'Sole_instance Point_of_dispute Becoming_aware Food Impact Frequency Make_agreement_on_action',BugReport
'Identicality Measure_duration Intentionally_create Identicality Frequency Judgment',BugReport
'Calendric_unit Possession Becoming Taking_time Event Part_whole Measure_duration Evidence Locative_relation',BugReport
'Contacting Frequency Undergo_change Quantity Simple_name',BugReport
'Expectation Frequency Cause_change Locative_relation Temporal_collocation Capacity Contacting',BugReport
'Measure_duration Working_on Desirability Temporal_collocation Cause_to_continue Motion_noise Contacting Contacting Usefulness Manipulation Offenses',BugReport
'Inhibit_movement Fields Secrecy_status Locative_relation Temporal_collocation Contacting Fields',BugReport
'Existence Process Temporal_collocation Sending Receiving Statement',BugReport
'Similarity Perception_experience Quantity Ordinal_numbers Quarreling Natural_features Temporal_collocation Political_locales Taking_time Ranked_expectation Evidence',BugReport
'Stimulus_focus Age Temporal_collocation Quantity Importance Time_vector Earnings_and_losses Performers_and_roles',BugReport
'Using Being_employed Relative_time Type Suitability Contingency Activity_stop Being_employed Using',BugReport
'Relational_quantity Statement Aggregate Predicament Contacting Impact Sufficiency Familiarity Temporal_collocation Being_active',BugReport
'Frequency Timespan Temporal_collocation Impact Importance Impact Change_position_on_a_scale Importance',BugReport
'Becoming_aware Sole_instance Point_of_dispute Importance Point_of_dispute Getting Capability Cause_change Locative_relation Temporal_collocation Type Contacting Becoming Locative_relation Quantity Intentionally_act Attempt Being_operational',BugReport
